Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Vodafone_10UserGroup:https://www.vodafone.com.au/my-vodafone,4,543,29,1379,561.94,0.00%,0.03868,9.1,0.2,240929.8
Vodafone_10UserGroup:LoginPortal,2,1086,764,1409,322.5,0.00%,0.01656,7.79,0.17,481859.5
Vodafone_10UserGroup:https://www.myvodafone.com.au/logout?redirect_url=https://www.myvodafone.com.au,15,219,85,479,110.42,0.00%,0.06233,0.1,0.05,1641.1
Vodafone_10UserGroup:https://myaccount.myvodafone.com.au/signout,7,361,308,448,53.14,0.00%,0.02904,0.29,0.05,10340.1
Vodafone_10UserGroup:LogOut,7,847,745,1094,109.01,0.00%,0.02639,1.43,0.09,55352.1
Vodafone_10UserGroup:ClickOnLoginNow,2,1247,1193,1302,54.5,0.00%,0.01591,2.5,0.11,160582
Vodafone_10UserGroup:https://www.vodafone.com.au/plans/bundle,1,956,956,956,0,0.00%,1.04603,339.25,7.9,332111
Vodafone_10UserGroup:https://www.vodafone.com.au/crowd/config/dcp1851mobile.json,1,28,28,28,0,0.00%,35.71429,17.54,12.87,503
Vodafone_10UserGroup:https://www.vodafone.com.au/crowd/config/dcp1851mbb.json,1,28,28,28,0,0.00%,35.71429,17.54,12.77,503
Vodafone_10UserGroup:https://www.vodafone.com.au/crowd/config/dcp1851tablet.json,1,34,34,34,0,0.00%,29.41176,14.45,10.6,503
Vodafone_10UserGroup:https://www.vodafone.com.au/crowd/config/dcp1851nbn.json,1,26,26,26,0,0.00%,38.46154,18.89,13.75,503
Vodafone_10UserGroup:BundleNews,1,1072,1072,1072,0,0.00%,0.00297,0.97,0.03,334123
Vodafone_10UserGroup:https://www.vodafone.com.au/support,1,1363,1363,1363,0,0.00%,0.73368,992.08,3.63,1384654
Vodafone_10UserGroup:SupportServices,1,1363,1363,1363,0,0.00%,0.02911,39.37,0.14,1384654
TOTAL,610,1485,26,34238,4337.37,0.33%,0.69424,341.2,2.75,503266.2
